product_id,total_reviews,avg_rating,high_risk_reviews,high_risk_rate,avg_risk_score,total_helpful_votes,main_issue,recommended_action
B01CE23EEA,4,2.75,2,50.0,71.0,3,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B01MR76X6K,4,2.0,3,75.0,70.75,2,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B07CSL21J8,3,2.6666666666666665,2,66.66666666666666,70.33333333333333,1,Product quality or effectiveness,"Investigate product performance claims, supplier quality, and refund patterns."
B01AR19RZU,6,2.1666666666666665,4,66.66666666666666,70.0,1,Positive feedback,Use positive feedback themes in marketing and product positioning.
B07WFXB13H,3,2.3333333333333335,2,66.66666666666666,69.66666666666667,0,Positive feedback,Use positive feedback themes in marketing and product positioning.
B01N7ODHA0,3,2.0,2,66.66666666666666,69.66666666666667,9,General mixed feedback,Monitor mixed feedback for emerging dissatisfaction themes.
B07QXQ9NZ8,3,2.6666666666666665,2,66.66666666666666,69.33333333333333,8,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B07H23KW68,3,2.0,2,66.66666666666666,68.66666666666667,2,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B086SSHLWT,3,2.3333333333333335,2,66.66666666666666,68.66666666666667,5,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B07KXVGHTV,3,2.3333333333333335,2,66.66666666666666,68.33333333333333,15,Positive feedback,Use positive feedback themes in marketing and product positioning.
B000PKNPES,4,2.25,3,75.0,68.25,1,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B08MPF3G9D,3,2.3333333333333335,2,66.66666666666666,67.66666666666667,0,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B08X75R4JL,3,2.0,2,66.66666666666666,67.33333333333333,0,Positive feedback,Use positive feedback themes in marketing and product positioning.
B07XTJWHM1,4,2.75,2,50.0,66.5,0,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B0113GT5Q4,6,2.5,4,66.66666666666666,66.5,2,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B00X3GO2QQ,3,2.3333333333333335,1,33.33333333333333,66.33333333333333,0,General mixed feedback,Monitor mixed feedback for emerging dissatisfaction themes.
B01IDOV7TC,5,2.6,3,60.0,66.2,19,Scent or fragrance issue,"Review fragrance strength, product description accuracy, and customer expectation messaging."
B07GDBN9LB,5,3.0,3,60.0,66.0,0,Product quality or effectiveness,"Investigate product performance claims, supplier quality, and refund patterns."
B07DKZP54X,3,2.6666666666666665,2,66.66666666666666,65.66666666666667,4,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B07RQWRZS4,3,2.3333333333333335,2,66.66666666666666,65.33333333333333,0,Product quality or effectiveness,"Investigate product performance claims, supplier quality, and refund patterns."
B0787HPL6D,3,2.0,2,66.66666666666666,65.33333333333333,13,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B000KRL5VG,4,2.25,3,75.0,65.25,0,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B082PW9YTT,4,2.25,2,50.0,65.25,1,General mixed feedback,Monitor mixed feedback for emerging dissatisfaction themes.
B017M402PO,5,2.6,2,40.0,65.2,6,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B0001HYJW2,3,2.3333333333333335,2,66.66666666666666,65.0,6,Positive feedback,Use positive feedback themes in marketing and product positioning.
B08D3Q9MNM,3,2.3333333333333335,2,66.66666666666666,65.0,0,Product quality or effectiveness,"Investigate product performance claims, supplier quality, and refund patterns."
B01LMKB63G,4,2.0,2,50.0,64.75,2,General mixed feedback,Monitor mixed feedback for emerging dissatisfaction themes.
B075MTGSSM,3,2.3333333333333335,2,66.66666666666666,64.66666666666667,2,Product quality or effectiveness,"Investigate product performance claims, supplier quality, and refund patterns."
B000GBID20,3,2.0,2,66.66666666666666,64.66666666666667,0,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B077PQTTH9,3,2.3333333333333335,2,66.66666666666666,64.66666666666667,0,Product quality or effectiveness,"Investigate product performance claims, supplier quality, and refund patterns."
B00K5RZIKA,3,2.3333333333333335,1,33.33333333333333,64.33333333333333,0,Packaging or delivery issue,"Review packaging quality, fulfilment process, and delivery damage complaints."
B00AR59PZ4,3,2.0,2,66.66666666666666,64.33333333333333,4,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B076JLNGS5,3,2.3333333333333335,1,33.33333333333333,64.33333333333333,6,Positive feedback,Use positive feedback themes in marketing and product positioning.
B0851T7HDS,4,3.25,2,50.0,64.25,0,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B00JQ2VM8M,3,3.0,1,33.33333333333333,64.0,1,Product quality or effectiveness,"Investigate product performance claims, supplier quality, and refund patterns."
B00XZA42TW,4,2.25,3,75.0,63.25,4,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B01CTQC9J2,8,2.375,4,50.0,63.0,25,General mixed feedback,Monitor mixed feedback for emerging dissatisfaction themes.
B01CC0C3ZK,3,2.3333333333333335,2,66.66666666666666,63.0,2,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B077D4921Z,4,2.25,2,50.0,63.0,18,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B077GZGRNS,3,3.0,2,66.66666666666666,63.0,8,Positive feedback,Use positive feedback themes in marketing and product positioning.
B077YR3333,3,2.6666666666666665,1,33.33333333333333,63.0,0,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B07PPLGRM2,8,2.75,4,50.0,62.875,8,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B01JD1DJZE,4,2.25,3,75.0,62.75,3,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B08DJZRM1M,3,2.3333333333333335,2,66.66666666666666,62.333333333333336,2,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B082RD77G5,12,2.8333333333333335,6,50.0,62.25,214,Positive feedback,Use positive feedback themes in marketing and product positioning.
B087P5DN6R,3,3.0,1,33.33333333333333,62.0,0,Product quality or effectiveness,"Investigate product performance claims, supplier quality, and refund patterns."
B083BDVS36,3,4.0,1,33.33333333333333,61.666666666666664,1,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B08JPFLW4G,3,3.0,2,66.66666666666666,61.0,0,Positive feedback,Use positive feedback themes in marketing and product positioning.
B06ZY7LQW3,3,2.6666666666666665,2,66.66666666666666,60.666666666666664,5,Positive feedback,Use positive feedback themes in marketing and product positioning.
B08WJPNZPQ,7,2.4285714285714284,5,71.42857142857143,60.57142857142857,2,Scent or fragrance issue,"Review fragrance strength, product description accuracy, and customer expectation messaging."
B08QVHDDSZ,4,3.0,2,50.0,60.5,3,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B01FSMJW7Q,3,2.6666666666666665,1,33.33333333333333,60.333333333333336,0,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B0779DQG8T,3,2.6666666666666665,2,66.66666666666666,60.333333333333336,0,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B00A7KLMOG,4,3.0,1,25.0,59.75,2,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B07T23FR6R,3,2.6666666666666665,2,66.66666666666666,59.333333333333336,1,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B01DXWFYDY,3,2.6666666666666665,2,66.66666666666666,59.0,5,Packaging or delivery issue,"Review packaging quality, fulfilment process, and delivery damage complaints."
B085TPM69T,4,2.75,2,50.0,59.0,31,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B012L4EH92,4,2.5,2,50.0,59.0,2,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B07MTTRDFQ,3,3.0,1,33.33333333333333,59.0,1,Price or value issue,"Review pricing, product size communication, and value perception."
B01195J43I,10,2.6,6,60.0,58.4,3,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B09VB59RFG,3,2.3333333333333335,2,66.66666666666666,58.333333333333336,0,General mixed feedback,Monitor mixed feedback for emerging dissatisfaction themes.
B09M2CF3Q8,3,2.6666666666666665,2,66.66666666666666,58.333333333333336,0,Positive feedback,Use positive feedback themes in marketing and product positioning.
B004SBJBNO,4,3.5,1,25.0,58.25,10,Size or quantity issue,"Improve product size visibility, images, and quantity information."
B07SLFWZKN,4,3.25,1,25.0,58.25,2,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B08QMJLMCQ,3,2.3333333333333335,2,66.66666666666666,58.0,2,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B07XPN6V4M,6,3.1666666666666665,3,50.0,57.666666666666664,12,Positive feedback,Use positive feedback themes in marketing and product positioning.
B01G7SKNC8,3,3.0,1,33.33333333333333,57.666666666666664,4,Product quality or effectiveness,"Investigate product performance claims, supplier quality, and refund patterns."
B01MCV9VMA,5,3.2,2,40.0,57.6,12,Scent or fragrance issue,"Review fragrance strength, product description accuracy, and customer expectation messaging."
B00EWUFETQ,3,2.3333333333333335,2,66.66666666666666,57.333333333333336,0,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B071CK69W2,3,2.3333333333333335,2,66.66666666666666,57.0,0,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B08KG48M5L,4,3.0,2,50.0,57.0,0,Scent or fragrance issue,"Review fragrance strength, product description accuracy, and customer expectation messaging."
B08HWH55LX,4,3.5,1,25.0,56.75,1,Scent or fragrance issue,"Review fragrance strength, product description accuracy, and customer expectation messaging."
B0C7WQK2QW,4,3.5,2,50.0,56.75,15,Scent or fragrance issue,"Review fragrance strength, product description accuracy, and customer expectation messaging."
B01GFEMKES,5,2.6,2,40.0,56.4,0,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B071S98JST,3,3.6666666666666665,1,33.33333333333333,56.333333333333336,5,Scent or fragrance issue,"Review fragrance strength, product description accuracy, and customer expectation messaging."
B00DT4757A,13,3.230769230769231,6,46.15384615384615,55.92307692307692,29,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B004PZXJUO,7,2.7142857142857144,3,42.857142857142854,55.285714285714285,2,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B01BYWYNUA,4,3.5,1,25.0,54.75,2,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B00KXFD75M,4,2.5,2,50.0,54.75,2,General mixed feedback,Monitor mixed feedback for emerging dissatisfaction themes.
B081M5R5L5,6,3.3333333333333335,2,33.33333333333333,54.666666666666664,0,Positive feedback,Use positive feedback themes in marketing and product positioning.
B01DVQZXZ6,4,3.0,2,50.0,54.5,0,General mixed feedback,Monitor mixed feedback for emerging dissatisfaction themes.
B08BNNNMH5,5,3.6,2,40.0,54.4,2,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B000BOZ8UM,5,3.4,1,20.0,54.4,5,Positive feedback,Use positive feedback themes in marketing and product positioning.
B00T5GD1TC,4,3.25,2,50.0,54.25,1,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B07DQGT2JH,15,3.066666666666667,7,46.666666666666664,54.2,3,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B0713VF172,3,3.6666666666666665,1,33.33333333333333,54.0,5,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B07BSCL33X,4,3.5,1,25.0,54.0,6,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B086JJBF6L,3,3.3333333333333335,1,33.33333333333333,54.0,0,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B0769YSRJR,3,3.0,1,33.33333333333333,54.0,4,Positive feedback,Use positive feedback themes in marketing and product positioning.
B004Y00WIC,5,2.8,3,60.0,53.6,3,Positive feedback,Use positive feedback themes in marketing and product positioning.
B07PHWX88W,6,3.1666666666666665,2,33.33333333333333,53.333333333333336,4,Scent or fragrance issue,"Review fragrance strength, product description accuracy, and customer expectation messaging."
B072JX8LV5,3,2.6666666666666665,1,33.33333333333333,53.333333333333336,2,General mixed feedback,Monitor mixed feedback for emerging dissatisfaction themes.
B07RGZNDV4,3,3.6666666666666665,1,33.33333333333333,53.333333333333336,0,Packaging or delivery issue,"Review packaging quality, fulfilment process, and delivery damage complaints."
B06XY6QYX5,3,3.0,1,33.33333333333333,53.333333333333336,0,Positive feedback,Use positive feedback themes in marketing and product positioning.
B07QC6QRHS,3,2.6666666666666665,2,66.66666666666666,53.333333333333336,0,Positive feedback,Use positive feedback themes in marketing and product positioning.
B0BN12F234,4,3.0,2,50.0,53.25,0,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B00011JN5G,5,4.6,0,0.0,53.2,25,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B0722HKRHH,5,2.8,2,40.0,53.2,3,Product quality or effectiveness,"Investigate product performance claims, supplier quality, and refund patterns."
B07G4PPF37,3,3.0,1,33.33333333333333,53.0,0,General mixed feedback,Monitor mixed feedback for emerging dissatisfaction themes.
B087BC7GPT,6,3.3333333333333335,2,33.33333333333333,53.0,1,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B084QB5Q5G,5,3.4,1,20.0,52.8,4,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B08G4W8BH9,3,3.3333333333333335,1,33.33333333333333,52.666666666666664,3,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B081QTPRMP,3,3.0,1,33.33333333333333,52.666666666666664,1,Scent or fragrance issue,"Review fragrance strength, product description accuracy, and customer expectation messaging."
B01C8404OC,4,2.5,2,50.0,52.5,3,Positive feedback,Use positive feedback themes in marketing and product positioning.
B01LZY0HO3,4,3.0,2,50.0,52.5,4,Positive feedback,Use positive feedback themes in marketing and product positioning.
B01F8P1TI8,4,3.0,1,25.0,52.5,12,Positive feedback,Use positive feedback themes in marketing and product positioning.
B014FE69WE,4,3.0,2,50.0,52.5,2,Positive feedback,Use positive feedback themes in marketing and product positioning.
B001O1M6II,8,3.75,1,12.5,52.375,29,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B086XH7BWW,3,3.3333333333333335,1,33.33333333333333,52.333333333333336,0,Packaging or delivery issue,"Review packaging quality, fulfilment process, and delivery damage complaints."
B0721R3XCQ,3,3.0,1,33.33333333333333,52.333333333333336,2,Positive feedback,Use positive feedback themes in marketing and product positioning.
B0043G89C8,3,3.0,2,66.66666666666666,52.333333333333336,3,Positive feedback,Use positive feedback themes in marketing and product positioning.
B01GOINCUQ,4,3.5,1,25.0,52.0,0,Size or quantity issue,"Improve product size visibility, images, and quantity information."
B000N9IQLS,3,3.6666666666666665,1,33.33333333333333,51.666666666666664,7,Price or value issue,"Review pricing, product size communication, and value perception."
B01AX6W1EI,3,3.0,1,33.33333333333333,51.666666666666664,0,Positive feedback,Use positive feedback themes in marketing and product positioning.
B09P3ZMV55,6,3.0,3,50.0,51.666666666666664,3,Positive feedback,Use positive feedback themes in marketing and product positioning.
B079SW32Y6,3,3.6666666666666665,1,33.33333333333333,51.666666666666664,1,Positive feedback,Use positive feedback themes in marketing and product positioning.
B0855L611L,4,3.5,1,25.0,51.25,5,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B07QR1VCHM,3,3.0,1,33.33333333333333,51.0,1,Positive feedback,Use positive feedback themes in marketing and product positioning.
B00Q1BNG6C,4,3.25,2,50.0,51.0,0,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B06WRSMR1P,3,3.0,1,33.33333333333333,50.666666666666664,4,Positive feedback,Use positive feedback themes in marketing and product positioning.
B08DLWHKC9,3,3.0,1,33.33333333333333,50.666666666666664,0,Positive feedback,Use positive feedback themes in marketing and product positioning.
B01IA9E32S,3,3.6666666666666665,1,33.33333333333333,50.666666666666664,0,Scent or fragrance issue,"Review fragrance strength, product description accuracy, and customer expectation messaging."
B00NFX6FJO,9,3.2222222222222223,4,44.44444444444444,50.55555555555556,28,Positive feedback,Use positive feedback themes in marketing and product positioning.
B000G8LWZI,7,4.142857142857143,1,14.285714285714285,50.42857142857143,66,Skin reaction or irritation,Escalate to product safety/quality team and review ingredient warnings.
B08HZ5Y8RY,3,3.0,1,33.33333333333333,50.333333333333336,0,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B019BCAMT6,4,3.25,1,25.0,50.25,13,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B074TG7CVH,6,3.3333333333333335,2,33.33333333333333,50.166666666666664,5,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B01F8HNLXW,3,3.6666666666666665,1,33.33333333333333,50.0,5,Positive feedback,Use positive feedback themes in marketing and product positioning.
B08HDB6SNY,4,3.5,1,25.0,50.0,16,Positive feedback,Use positive feedback themes in marketing and product positioning.
B0BGNX4ZTQ,4,3.0,2,50.0,50.0,1,Positive feedback,Use positive feedback themes in marketing and product positioning.
B07DM82YBT,3,3.6666666666666665,1,33.33333333333333,50.0,0,Price or value issue,"Review pricing, product size communication, and value perception."
B00MZT4UEG,15,3.2666666666666666,6,40.0,49.86666666666667,4,Size or quantity issue,"Improve product size visibility, images, and quantity information."
B09NWC15QP,5,3.4,2,40.0,49.8,5,Scent or fragrance issue,"Review fragrance strength, product description accuracy, and customer expectation messaging."
B086JN17SK,3,2.3333333333333335,1,33.33333333333333,49.666666666666664,0,Positive feedback,Use positive feedback themes in marketing and product positioning.
B07YZ7JG6Z,6,3.0,3,50.0,49.666666666666664,7,Positive feedback,Use positive feedback themes in marketing and product positioning.
B078397R2G,3,3.3333333333333335,1,33.33333333333333,49.666666666666664,30,Positive feedback,Use positive feedback themes in marketing and product positioning.
B07VQYMBHH,5,3.0,2,40.0,49.6,7,Positive feedback,Use positive feedback themes in marketing and product positioning.
B08B16K4LB,3,3.6666666666666665,1,33.33333333333333,49.333333333333336,5,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B08M256NMN,4,3.25,2,50.0,49.25,7,Positive feedback,Use positive feedback themes in marketing and product positioning.
B00PKIE760,5,3.8,1,20.0,49.0,0,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B00C0YZBJE,5,3.6,1,20.0,49.0,4,Scent or fragrance issue,"Review fragrance strength, product description accuracy, and customer expectation messaging."
B09G22586Y,4,3.25,2,50.0,49.0,1,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B083NW3W4J,3,3.6666666666666665,1,33.33333333333333,49.0,5,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B01FJI6G3W,4,3.0,2,50.0,48.75,0,Positive feedback,Use positive feedback themes in marketing and product positioning.
B07B6WZZ65,6,3.6666666666666665,2,33.33333333333333,48.666666666666664,38,Positive feedback,Use positive feedback themes in marketing and product positioning.
B074PQG4K8,3,3.0,2,66.66666666666666,48.666666666666664,1,Positive feedback,Use positive feedback themes in marketing and product positioning.
B00BD5FEMK,3,3.0,1,33.33333333333333,48.666666666666664,6,Positive feedback,Use positive feedback themes in marketing and product positioning.
B07MBHXMPL,3,3.6666666666666665,1,33.33333333333333,48.666666666666664,56,Scent or fragrance issue,"Review fragrance strength, product description accuracy, and customer expectation messaging."
B083TLNBJJ,4,3.5,0,0.0,48.5,2,Scent or fragrance issue,"Review fragrance strength, product description accuracy, and customer expectation messaging."
B086M8MZGB,5,3.4,2,40.0,48.4,0,Scent or fragrance issue,"Review fragrance strength, product description accuracy, and customer expectation messaging."
B075RN7LTC,3,3.3333333333333335,1,33.33333333333333,48.333333333333336,8,Positive feedback,Use positive feedback themes in marketing and product positioning.
B07N2LSXR9,3,3.6666666666666665,1,33.33333333333333,48.333333333333336,6,Scent or fragrance issue,"Review fragrance strength, product description accuracy, and customer expectation messaging."
B00U8PVVXC,4,3.75,1,25.0,48.25,7,Positive feedback,Use positive feedback themes in marketing and product positioning.
B015RR870U,7,3.7142857142857144,1,14.285714285714285,48.142857142857146,13,Packaging or delivery issue,"Review packaging quality, fulfilment process, and delivery damage complaints."
B005FRXQ5E,3,4.0,1,33.33333333333333,48.0,11,Positive feedback,Use positive feedback themes in marketing and product positioning.
B081632HX6,5,3.6,1,20.0,48.0,3,Scent or fragrance issue,"Review fragrance strength, product description accuracy, and customer expectation messaging."
B07YDLYYP3,3,3.0,0,0.0,48.0,0,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B01KXDO4YG,3,3.3333333333333335,1,33.33333333333333,48.0,0,Positive feedback,Use positive feedback themes in marketing and product positioning.
B07TRQ9VRN,4,3.25,2,50.0,48.0,0,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B0150VWF5G,8,2.875,3,37.5,47.875,4,Positive feedback,Use positive feedback themes in marketing and product positioning.
B07PTQHSQS,4,4.25,0,0.0,47.75,3,Skin reaction or irritation,Escalate to product safety/quality team and review ingredient warnings.
B07VGBBNTH,7,3.5714285714285716,2,28.57142857142857,47.714285714285715,0,Scent or fragrance issue,"Review fragrance strength, product description accuracy, and customer expectation messaging."
B01MRX18Y5,6,3.0,2,33.33333333333333,47.666666666666664,3,Positive feedback,Use positive feedback themes in marketing and product positioning.
B01HNJQ2F2,3,4.0,0,0.0,47.666666666666664,0,Positive feedback,Use positive feedback themes in marketing and product positioning.
B0711T3LDQ,3,3.6666666666666665,1,33.33333333333333,47.666666666666664,1,Packaging or delivery issue,"Review packaging quality, fulfilment process, and delivery damage complaints."
B07DXG9LDT,3,3.6666666666666665,1,33.33333333333333,47.666666666666664,5,Positive feedback,Use positive feedback themes in marketing and product positioning.
B08MPK4JRB,5,3.6,1,20.0,47.6,0,Packaging or delivery issue,"Review packaging quality, fulfilment process, and delivery damage complaints."
B098GMKW8D,3,3.3333333333333335,0,0.0,47.333333333333336,0,Size or quantity issue,"Improve product size visibility, images, and quantity information."
B019YV849E,3,3.3333333333333335,1,33.33333333333333,47.333333333333336,5,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B07VWLSNYN,3,4.0,0,0.0,47.333333333333336,2,Positive feedback,Use positive feedback themes in marketing and product positioning.
B00WDKPW9O,3,3.6666666666666665,1,33.33333333333333,47.333333333333336,0,Scent or fragrance issue,"Review fragrance strength, product description accuracy, and customer expectation messaging."
B0BG6WX4DH,6,3.0,1,16.666666666666664,47.333333333333336,5,Scent or fragrance issue,"Review fragrance strength, product description accuracy, and customer expectation messaging."
B0844X21MJ,7,3.142857142857143,2,28.57142857142857,47.285714285714285,0,Scent or fragrance issue,"Review fragrance strength, product description accuracy, and customer expectation messaging."
B0002SGSNI,8,3.875,3,37.5,47.25,8,Positive feedback,Use positive feedback themes in marketing and product positioning.
B0851C4YPC,4,3.25,2,50.0,47.25,0,Size or quantity issue,"Improve product size visibility, images, and quantity information."
B09WSVFSGJ,9,3.888888888888889,2,22.22222222222222,47.111111111111114,37,Positive feedback,Use positive feedback themes in marketing and product positioning.
B01N4SHVCI,3,3.3333333333333335,1,33.33333333333333,47.0,4,Scent or fragrance issue,"Review fragrance strength, product description accuracy, and customer expectation messaging."
B09NMGB5H9,3,3.6666666666666665,1,33.33333333333333,47.0,1,Positive feedback,Use positive feedback themes in marketing and product positioning.
B00VTU0M1M,3,3.3333333333333335,1,33.33333333333333,47.0,0,Positive feedback,Use positive feedback themes in marketing and product positioning.
B00JJV2XL0,3,3.6666666666666665,1,33.33333333333333,47.0,0,Positive feedback,Use positive feedback themes in marketing and product positioning.
B07JCYGJC3,3,3.0,0,0.0,47.0,0,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B0001HYKC6,3,3.3333333333333335,1,33.33333333333333,47.0,11,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B0006B0W42,3,3.0,1,33.33333333333333,46.666666666666664,0,General mixed feedback,Monitor mixed feedback for emerging dissatisfaction themes.
B00YMLWSDU,3,3.6666666666666665,1,33.33333333333333,46.666666666666664,1,Positive feedback,Use positive feedback themes in marketing and product positioning.
B07KQ32Z8C,3,4.0,0,0.0,46.666666666666664,1,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B0971Z28DS,3,4.0,0,0.0,46.666666666666664,1,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
B07X1VSC9V,3,3.6666666666666665,0,0.0,46.666666666666664,0,Positive feedback,Use positive feedback themes in marketing and product positioning.
B079HF1LRD,5,3.6,2,40.0,46.6,9,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B001CE31XQ,7,3.4285714285714284,2,28.57142857142857,46.57142857142857,20,General negative complaint,Manually review negative complaints and identify repeated issue patterns.
B08DKK7KXV,4,3.5,1,25.0,46.5,0,Size or quantity issue,"Improve product size visibility, images, and quantity information."
B07Q2G3FSY,3,3.3333333333333335,1,33.33333333333333,46.333333333333336,1,Positive feedback,Use positive feedback themes in marketing and product positioning.
B0837NJT25,4,3.25,2,50.0,46.25,0,Price or value issue,"Review pricing, product size communication, and value perception."
B01CYTUXHO,6,3.8333333333333335,1,16.666666666666664,46.166666666666664,4,Texture or feel issue,"Review product formulation, texture expectations, and product description accuracy."
